Provinsi,Produk Domestik Regional Bruto per Kapita HB (Rp)
Aceh,41424
Sumatera Utara,68306
Sumatera Barat,54327
Riau,154522
Jambi,79836
Sumatera Selatan,71950
Bengkulu,46285
Lampung,48194
Kepulauan Bangka Belitung,67885
Kepulauan Riau,154179
DKI Jakarta,322615
Jawa Barat,52651
Jawa Tengah,45199
DI Yogyakarta,48358
Jawa Timur,71122
Banten,66147
Bali,62293
Nusa Tenggara Barat,29926
Nusa Tenggara Timur,23078
Kalimantan Barat,48809
Kalimantan Tengah,75294
Kalimantan Selatan,63779
Kalimantan Timur,215761
Kalimantan Utara,201749
Sulawesi Utara,64131
Sulawesi Tengah,112461
Sulawesi Selatan,69702
Sulawesi Tenggara,64088
Gorontalo,42347
Sulawesi Barat,39533
Maluku,30456
Maluku Utara,63677
Papua Barat,108101
Papua Barat Daya,58450
Papua,78061
Papua Selatan,58680
Papua Tengah,103504
Papua Pegunungan,16870
,
Catatan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.,
** Data 2023: Angka sangat sementara,